Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1315847,CAKE,1,3.0,3.0,DIGITAL WALLET,IN-STORE,2023-06-19
TXN_1317114,COOKIE,2,1.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-11-06
TXN_1322421,JUICE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-03-05
TXN_1324760,TEA,4,1.5,6.0,CASH,IN-STORE,2023-01-18
TXN_1324968,COOKIE,3,1.0,3.0,CREDIT CARD,IN-STORE,2023-01-05
TXN_1334406,JUICE,1,3.0,3.0,DIGITAL WALLET,IN-STORE,2023-09-26
TXN_1335337,TEA,3,1.5,4.5,CREDIT CARD,IN-STORE,2023-09-06
TXN_1340358,SANDWICH,3,4.0,12.0,CASH,TAKEAWAY,2023-06-09
TXN_1342359,CAKE,4,3.0,12.0,CASH,TAKEAWAY,2023-07-14
TXN_1343750,COOKIE,2,1.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-02-15
TXN_1346517,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-03-20
TXN_1349640,JUICE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-06-17
TXN_1353266,SMOOTHIE,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-08-30
TXN_1354464,CAKE,5,3.0,15.0,DIGITAL WALLET,IN-STORE,2023-03-18
TXN_1356599,COOKIE,2,1.0,2.0,CASH,TAKEAWAY,2023-12-14
TXN_1360998,COOKIE,2,1.0,2.0,CASH,TAKEAWAY,2023-07-30
TXN_1367003,SALAD,5,5.0,25.0,CASH,IN-STORE,2023-11-10
TXN_1368769,COOKIE,3,1.0,3.0,CREDIT CARD,TAKEAWAY,2023-06-02
TXN_1372003,TEA,4,1.5,6.0,DIGITAL WALLET,TAKEAWAY,2023-10-13
TXN_1372492,SALAD,4,5.0,20.0,CASH,TAKEAWAY,2023-03-28
TXN_1375992,COFFEE,5,2.0,10.0,CREDIT CARD,IN-STORE,2023-03-23
TXN_1380601,TEA,4,1.5,6.0,DIGITAL WALLET,IN-STORE,2023-03-11
TXN_1387401,COOKIE,4,1.0,4.0,CASH,IN-STORE,2023-10-19
TXN_1388606,CAKE,3,3.0,9.0,DIGITAL WALLET,TAKEAWAY,2023-08-31
TXN_1389258,SALAD,1,5.0,5.0,CASH,TAKEAWAY,2023-12-31
TXN_1395083,JUICE,1,3.0,3.0,CASH,IN-STORE,2023-07-08
TXN_1396019,COFFEE,4,2.0,8.0,CASH,IN-STORE,2023-12-03
TXN_1398769,SMOOTHIE,1,4.0,4.0,CASH,IN-STORE,2023-06-02
TXN_1399696,CAKE,5,3.0,15.0,CASH,IN-STORE,2023-04-08
TXN_1408709,SMOOTHIE,5,4.0,20.0,CASH,TAKEAWAY,2023-04-14
TXN_1410102,SALAD,1,5.0,5.0,CASH,IN-STORE,2023-06-23
TXN_1411473,COFFEE,3,2.0,6.0,CREDIT CARD,IN-STORE,2023-01-04
TXN_1411744,SMOOTHIE,4,4.0,16.0,CREDIT CARD,TAKEAWAY,2023-09-17
TXN_1412415,JUICE,3,3.0,9.0,CASH,IN-STORE,2023-02-24
TXN_1413335,SALAD,1,5.0,5.0,DIGITAL WALLET,TAKEAWAY,2023-05-17
TXN_1417291,JUICE,4,3.0,12.0,DIGITAL WALLET,IN-STORE,2023-05-11
TXN_1417400,COOKIE,2,1.0,2.0,CASH,IN-STORE,2023-03-20
TXN_1417871,SALAD,3,5.0,15.0,CASH,TAKEAWAY,2023-03-12
TXN_1419669,CAKE,5,3.0,15.0,CASH,TAKEAWAY,2023-03-07
TXN_1425215,JUICE,1,3.0,3.0,CASH,TAKEAWAY,2023-03-13
TXN_1434598,SANDWICH,5,4.0,20.0,CASH,TAKEAWAY,2023-11-18
TXN_1436343,COOKIE,1,1.0,1.0,CREDIT CARD,IN-STORE,2023-11-26
TXN_1436851,SANDWICH,5,4.0,20.0,CASH,TAKEAWAY,2023-07-28
TXN_1437083,SMOOTHIE,2,4.0,8.0,CREDIT CARD,IN-STORE,2023-03-15
TXN_1438257,SALAD,4,5.0,20.0,CREDIT CARD,TAKEAWAY,2023-06-13
TXN_1442096,COOKIE,3,1.0,3.0,CREDIT CARD,IN-STORE,2023-06-27
TXN_1443201,COOKIE,5,1.0,5.0,CREDIT CARD,IN-STORE,2023-10-03
TXN_1443928,CAKE,4,3.0,12.0,CASH,TAKEAWAY,2023-12-03
TXN_1444932,SMOOTHIE,1,4.0,4.0,CASH,IN-STORE,2023-05-24
TXN_1445532,COFFEE,3,2.0,6.0,CASH,TAKEAWAY,2023-03-03
TXN_1448501,CAKE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-09-10
TXN_1454467,JUICE,3,3.0,9.0,CASH,IN-STORE,2023-03-15
TXN_1458905,SANDWICH,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-02-19
TXN_1460963,COFFEE,3,2.0,6.0,CASH,IN-STORE,2023-02-10
TXN_1461221,SALAD,2,5.0,10.0,CASH,IN-STORE,2023-04-30
TXN_1464150,COFFEE,5,2.0,10.0,CASH,TAKEAWAY,2023-02-14
TXN_1465584,SANDWICH,1,4.0,4.0,CREDIT CARD,IN-STORE,2023-04-29
TXN_1469462,CAKE,1,3.0,3.0,CREDIT CARD,TAKEAWAY,2023-09-05
TXN_1474329,SMOOTHIE,2,4.0,8.0,DIGITAL WALLET,TAKEAWAY,2023-03-02
TXN_1477525,SALAD,3,5.0,15.0,CASH,TAKEAWAY,2023-11-06
TXN_1481116,TEA,2,1.5,3.0,DIGITAL WALLET,IN-STORE,2023-02-26
TXN_1482123,COFFEE,1,2.0,2.0,CASH,IN-STORE,2023-06-17
TXN_1488481,COFFEE,4,2.0,8.0,CREDIT CARD,TAKEAWAY,2023-07-28
TXN_1489194,COFFEE,3,2.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-07-18
TXN_1489746,COOKIE,3,1.0,3.0,DIGITAL WALLET,IN-STORE,2023-12-18
TXN_1491299,JUICE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-02-27
TXN_1491670,JUICE,5,3.0,15.0,CREDIT CARD,TAKEAWAY,2023-06-28
TXN_1494608,TEA,3,1.5,4.5,CREDIT CARD,IN-STORE,2023-05-07
TXN_1498343,SALAD,2,5.0,10.0,CREDIT CARD,TAKEAWAY,2023-03-31
TXN_1503903,TEA,1,1.5,1.5,CASH,TAKEAWAY,2023-03-20
TXN_1505837,SANDWICH,3,4.0,12.0,CREDIT CARD,IN-STORE,2023-12-15
TXN_1505875,SMOOTHIE,4,4.0,16.0,CASH,TAKEAWAY,2023-05-17
TXN_1512118,SALAD,4,5.0,20.0,CASH,IN-STORE,2023-03-01
TXN_1512159,CAKE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-11-25
TXN_1512185,COFFEE,4,2.0,8.0,CASH,TAKEAWAY,2023-06-16
TXN_1514364,COFFEE,5,2.0,10.0,DIGITAL WALLET,IN-STORE,2023-01-21
TXN_1516961,SANDWICH,3,4.0,12.0,CREDIT CARD,TAKEAWAY,2023-11-01
TXN_1522122,COOKIE,5,1.0,5.0,CREDIT CARD,IN-STORE,2023-02-14
TXN_1526864,SMOOTHIE,3,4.0,12.0,DIGITAL WALLET,IN-STORE,2023-01-27
TXN_1529845,JUICE,3,3.0,9.0,CREDIT CARD,IN-STORE,2023-01-25
TXN_1533652,TEA,3,1.5,4.5,CASH,IN-STORE,2023-08-17
TXN_1534763,COOKIE,2,1.0,2.0,CASH,TAKEAWAY,2023-09-17
TXN_1542042,CAKE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-07-26
TXN_1547704,COFFEE,5,2.0,10.0,CASH,IN-STORE,2023-02-14
TXN_1556046,SANDWICH,4,4.0,16.0,CREDIT CARD,TAKEAWAY,2023-04-09
TXN_1556708,SMOOTHIE,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-06-11
TXN_1564506,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-02-01
TXN_1564754,SALAD,3,5.0,15.0,DIGITAL WALLET,IN-STORE,2023-03-14
TXN_1566564,COOKIE,3,1.0,3.0,CREDIT CARD,TAKEAWAY,2023-09-08
TXN_1569729,SMOOTHIE,5,4.0,20.0,CASH,TAKEAWAY,2023-07-16
TXN_1570573,SANDWICH,3,4.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-04-09
TXN_1571824,COOKIE,4,1.0,4.0,CASH,TAKEAWAY,2023-10-16
TXN_1576076,COFFEE,3,2.0,6.0,CASH,TAKEAWAY,2023-10-07
TXN_1577802,JUICE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-11-29
TXN_1578981,CAKE,1,3.0,3.0,CASH,IN-STORE,2023-05-15
TXN_1579182,JUICE,5,3.0,15.0,CASH,IN-STORE,2023-02-20
TXN_1581562,COFFEE,2,2.0,4.0,CASH,IN-STORE,2023-01-01
TXN_1583597,SALAD,1,5.0,5.0,CASH,IN-STORE,2023-05-10
TXN_1585827,CAKE,3,3.0,9.0,CREDIT CARD,IN-STORE,2023-09-30
TXN_1588687,COFFEE,2,2.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-08-22
TXN_1591640,CAKE,2,3.0,6.0,CASH,IN-STORE,2023-05-26
TXN_1599516,JUICE,3,3.0,9.0,CASH,IN-STORE,2023-05-11
TXN_1602799,CAKE,4,3.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-03-23
TXN_1605048,CAKE,4,3.0,12.0,CASH,TAKEAWAY,2023-03-16
TXN_1606273,COFFEE,1,2.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-11-02
TXN_1607471,SANDWICH,2,4.0,8.0,CREDIT CARD,TAKEAWAY,2023-01-03
TXN_1610137,COFFEE,3,2.0,6.0,CASH,TAKEAWAY,2023-04-02
TXN_1617476,CAKE,2,3.0,6.0,DIGITAL WALLET,IN-STORE,2023-02-10
TXN_1622123,COOKIE,2,1.0,2.0,CASH,TAKEAWAY,2023-01-05
TXN_1625754,CAKE,5,3.0,15.0,DIGITAL WALLET,IN-STORE,2023-08-03
TXN_1630051,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,TAKEAWAY,2023-03-17
TXN_1633607,JUICE,1,3.0,3.0,CASH,TAKEAWAY,2023-03-13
TXN_1643870,SALAD,4,5.0,20.0,DIGITAL WALLET,TAKEAWAY,2023-10-07
TXN_1645743,COOKIE,4,1.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-07-02
TXN_1647069,SANDWICH,1,4.0,4.0,CREDIT CARD,TAKEAWAY,2023-04-06
TXN_1648671,SANDWICH,3,4.0,12.0,CASH,TAKEAWAY,2023-05-21
TXN_1655100,CAKE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-12-20
TXN_1660104,SMOOTHIE,2,4.0,8.0,CREDIT CARD,TAKEAWAY,2023-02-04
TXN_1660757,CAKE,4,3.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-11-08
TXN_1661068,SALAD,3,5.0,15.0,CASH,TAKEAWAY,2023-04-09
TXN_1663113,SMOOTHIE,4,4.0,16.0,CREDIT CARD,TAKEAWAY,2023-12-24
TXN_1665810,SANDWICH,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-02-26
TXN_1670597,COFFEE,2,2.0,4.0,CASH,TAKEAWAY,2023-05-21
TXN_1672443,COFFEE,1,2.0,2.0,CREDIT CARD,TAKEAWAY,2023-10-03
TXN_1678985,JUICE,2,3.0,6.0,CASH,IN-STORE,2023-07-16
TXN_1679800,SMOOTHIE,4,4.0,16.0,CASH,IN-STORE,2023-10-17
TXN_1681153,JUICE,3,3.0,9.0,CASH,TAKEAWAY,2023-02-09
TXN_1686323,SMOOTHIE,4,4.0,16.0,DIGITAL WALLET,IN-STORE,2023-11-30
TXN_1691313,SANDWICH,2,4.0,8.0,DIGITAL WALLET,TAKEAWAY,2023-03-17
TXN_1696300,COOKIE,1,1.0,1.0,DIGITAL WALLET,IN-STORE,2023-05-28
TXN_1696813,COOKIE,3,1.0,3.0,CASH,IN-STORE,2023-04-02
TXN_1697018,JUICE,4,3.0,12.0,DIGITAL WALLET,IN-STORE,2023-07-02
TXN_1697299,SMOOTHIE,3,4.0,12.0,CASH,IN-STORE,2023-10-08
TXN_1698600,SALAD,4,5.0,20.0,CASH,TAKEAWAY,2023-07-31
TXN_1700027,SMOOTHIE,4,4.0,16.0,DIGITAL WALLET,IN-STORE,2023-06-04
TXN_1701798,COFFEE,2,2.0,4.0,CASH,TAKEAWAY,2023-07-24
TXN_1702437,SMOOTHIE,4,4.0,16.0,CREDIT CARD,TAKEAWAY,2023-06-27
TXN_1706201,COFFEE,3,2.0,6.0,CREDIT CARD,IN-STORE,2023-08-23
TXN_1707251,SANDWICH,2,4.0,8.0,DIGITAL WALLET,TAKEAWAY,2023-10-06
TXN_1710476,JUICE,4,3.0,12.0,DIGITAL WALLET,TAKEAWAY,2023-05-22
TXN_1713983,SALAD,2,5.0,10.0,CASH,IN-STORE,2023-05-11
TXN_1714348,SANDWICH,2,4.0,8.0,CASH,TAKEAWAY,2023-12-31
TXN_1714471,JUICE,4,3.0,12.0,CASH,TAKEAWAY,2023-08-17
TXN_1719440,COOKIE,5,1.0,5.0,DIGITAL WALLET,TAKEAWAY,2023-07-13
TXN_1721342,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-08-23
TXN_1721366,SMOOTHIE,5,4.0,20.0,DIGITAL WALLET,IN-STORE,2023-04-09
TXN_1724233,COOKIE,5,1.0,5.0,DIGITAL WALLET,TAKEAWAY,2023-02-01
TXN_1728644,COFFEE,1,2.0,2.0,CASH,TAKEAWAY,2023-04-07
TXN_1730647,JUICE,5,3.0,15.0,DIGITAL WALLET,IN-STORE,2023-01-18
TXN_1730850,JUICE,2,3.0,6.0,CASH,TAKEAWAY,2023-12-15
TXN_1731476,SANDWICH,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-04-19
TXN_1732216,COFFEE,3,2.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-08-30
TXN_1733916,SANDWICH,4,4.0,16.0,DIGITAL WALLET,IN-STORE,2023-01-12
TXN_1738607,JUICE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-01-17
TXN_1740742,TEA,4,1.5,6.0,DIGITAL WALLET,IN-STORE,2023-10-06
TXN_1741325,TEA,2,1.5,3.0,CREDIT CARD,IN-STORE,2023-03-31
TXN_1749105,SANDWICH,5,4.0,20.0,CASH,IN-STORE,2023-10-17
TXN_1755817,SALAD,5,5.0,25.0,DIGITAL WALLET,TAKEAWAY,2023-07-17
TXN_1757340,CAKE,2,3.0,6.0,CREDIT CARD,IN-STORE,2023-12-29
TXN_1759063,COOKIE,2,1.0,2.0,DIGITAL WALLET,TAKEAWAY,2023-09-09
TXN_1760092,COFFEE,1,2.0,2.0,CREDIT CARD,TAKEAWAY,2023-04-15
TXN_1765281,SMOOTHIE,3,4.0,12.0,CREDIT CARD,IN-STORE,2023-01-28
TXN_1767872,SALAD,2,5.0,10.0,CREDIT CARD,IN-STORE,2023-01-05
TXN_1773873,SALAD,5,5.0,25.0,CREDIT CARD,TAKEAWAY,2023-06-10
TXN_1775278,JUICE,4,3.0,12.0,CREDIT CARD,TAKEAWAY,2023-02-22
TXN_1778707,SALAD,5,5.0,25.0,CREDIT CARD,TAKEAWAY,2023-03-26
TXN_1781777,SALAD,3,5.0,15.0,CREDIT CARD,TAKEAWAY,2023-10-26
TXN_1792405,TEA,3,1.5,4.5,DIGITAL WALLET,TAKEAWAY,2023-07-06
TXN_1792573,SMOOTHIE,5,4.0,20.0,CASH,TAKEAWAY,2023-12-07
TXN_1797690,CAKE,5,3.0,15.0,CREDIT CARD,TAKEAWAY,2023-08-10
TXN_1811216,SANDWICH,1,4.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-01-18
TXN_1815061,CAKE,3,3.0,9.0,DIGITAL WALLET,IN-STORE,2023-01-20
TXN_1817275,SALAD,2,5.0,10.0,CASH,IN-STORE,2023-09-02
TXN_1823906,SALAD,3,5.0,15.0,DIGITAL WALLET,IN-STORE,2023-06-26
TXN_1824506,CAKE,1,3.0,3.0,CASH,IN-STORE,2023-03-02
TXN_1826919,JUICE,4,3.0,12.0,CREDIT CARD,IN-STORE,2023-02-21
TXN_1828494,JUICE,2,3.0,6.0,DIGITAL WALLET,TAKEAWAY,2023-07-21
TXN_1830432,COOKIE,3,1.0,3.0,DIGITAL WALLET,TAKEAWAY,2023-11-02
TXN_1836754,TEA,1,1.5,1.5,CREDIT CARD,IN-STORE,2023-09-10
TXN_1837764,TEA,3,1.5,4.5,CASH,IN-STORE,2023-07-30
TXN_1841204,SALAD,3,5.0,15.0,DIGITAL WALLET,IN-STORE,2023-04-18
TXN_1846004,JUICE,3,3.0,9.0,CASH,IN-STORE,2023-05-21
TXN_1850339,COOKIE,5,1.0,5.0,CASH,TAKEAWAY,2023-01-17
TXN_1851725,CAKE,5,3.0,15.0,CASH,TAKEAWAY,2023-02-19
TXN_1853983,TEA,1,1.5,1.5,CASH,IN-STORE,2023-12-04
TXN_1854102,COFFEE,2,2.0,4.0,DIGITAL WALLET,TAKEAWAY,2023-07-18
TXN_1861717,TEA,2,1.5,3.0,CASH,IN-STORE,2023-11-10
TXN_1865302,COOKIE,5,1.0,5.0,CREDIT CARD,IN-STORE,2023-08-16
